propertyid,transdate,transvalue,transdate_previous,transvalue_previous,bathroomcnt,bedroomcnt,builtyear,finishedsquarefeet,lotsizesquarefeet,storycnt,latitude,longitude,usecode,censustract,viewtypeid
48652953,11/30/2005,345000,10/17/1995,110300,2,2,1948,1180,8069,1,47700688,-122367788,9,1400,
48653121,12/9/2005,268000,9/29/1995,123500,2,3,1987,1360,5500,1,47296501,-122366427,9,30312,
48653121,12/9/2005,268000,1/20/2000,157000,2,3,1987,1360,5500,1,47296501,-122366427,9,30312,
48653185,10/27/2005,260000,,,2.25,3,1984,1420,7280,1,47296017,-122369569,9,30312,
48653205,10/25/2005,284000,6/12/1992,128000,2.5,3,1987,1830,7200,2,47295318,-122367620,9,30312,
48653505,9/30/2005,278000,12/30/2003,228000,1,2,1952,1190,20570,1,47776144,-122259828,9,21600,
48653697,10/25/2005,375000,11/21/1996,50000,2.5,3,1997,1300,5088,2,47756798,-122228457,9,21700,
48653697,10/25/2005,375000,8/13/1999,207500,2.5,3,1997,1300,5088,2,47756798,-122228457,9,21700,
48653697,10/25/2005,375000,9/17/2002,246000,2.5,3,1997,1300,5088,2,47756798,-122228457,9,21700,
48653785,12/6/2005,352000,3/16/1994,117500,1,3,1918,980,2813,1,47583843,-122385553,9,9600,
48653857,12/30/2005,375000,,,,2,1917,770,502682,1,47247078,-122119175,9,31202,8
48653893,12/5/2005,386000,2/26/1999,205000,1.75,3,1953,1270,194713,1,47247718,-121991288,9,31202,8
48654169,11/17/2005,445000,7/24/1989,39000,2.5,4,1990,2250,98010,2,47333378,-122110587,9,31601,
48654185,9/12/2005,274950,,,,,,,88426,,47329628,-122121692,9,31204,
48654249,9/30/2005,401000,6/30/1998,232000,2.5,4,1968,2080,90169,1,47430807,-122502416,9,27701,
48654681,12/21/2005,292000,,,1,2,1954,750,6966,1,47514402,-122362796,9,26600,
48655005,9/16/2005,360000,7/1/2004,309950,1,3,1979,1220,27878,2,47594221,-121987422,9,32209,
48655445,10/19/2005,299000,12/14/1999,70000000,1,3,1917,1250,8038,2,47771914,-122375876,9,20200,
48656045,10/5/2005,180000,,,1,1,1930,670,12150,1,47513205,-122316824,9,26400,8
48656053,10/31/2005,350000,12/31/2001,249990,2,6,1926,2970,12000,2,47513202,-122315367,9,26400,2
48656089,9/30/2005,255000,8/16/2001,225000,2,4,1933,1900,14645,2,47511776,-122315142,9,26400,2
48656809,10/7/2005,549000,9/7/1994,150400,1.75,3,1913,2310,3200,2,47661192,-122362987,9,4800,
48656917,10/17/2005,100000,10/29/2004,160000,1,2,1934,900,4500,1,47492770,-122275629,9,26300,
48657533,10/5/2005,320000,,,1.75,3,1985,1730,15524,1,47476417,-121753470,9,32704,8
48657593,11/2/2005,319100,,,1.5,3,1967,1720,11338,1,47428718,-122158826,9,29307,
48657737,9/16/2005,492500,,,1,2,1926,1000,5800,1,47565762,-122391742,9,9702,
48658269,9/27/2005,465000,,,2.5,3,1990,2210,7344,2,47739783,-122216868,9,22102,
48658645,12/20/2005,410000,1/26/2004,193574,2.5,3,1990,1620,25575,1,47635615,-121963540,9,32315,
48658725,10/7/2005,629950,,,2.5,3,1998,3180,30604,1,47660880,-121954225,9,32315,3
48658781,12/27/2005,294950,8/10/1994,131900,1,3,1977,1300,8800,1,47640004,-121966025,9,32315,
48658781,12/27/2005,294950,11/30/1999,175000,1,3,1977,1300,8800,1,47640004,-121966025,9,32315,
48658781,12/27/2005,294950,10/30/2001,205000,1,3,1977,1300,8800,1,47640004,-121966025,9,32315,
48659501,10/31/2005,475000,5/12/1995,18000,2,4,1996,2580,84506,2,47340806,-122136923,9,31204,
48659501,10/31/2005,475000,5/6/1999,255000,2,4,1996,2580,84506,2,47340806,-122136923,9,31204,
48660105,11/29/2005,435000,12/8/1994,210000,2.25,3,1969,2020,50094,1,47595386,-122010720,9,32209,
48660133,10/4/2005,770000,,,2.75,4,1998,3490,54450,2,47596299,-122008011,9,32209,
48660249,10/28/2005,350000,,,1,2,1945,1050,5625,1,47682473,-122387974,9,3100,
48660269,12/29/2005,499000,5/25/1994,172000,1.5,2,1952,1980,4200,1,47683619,-122396072,9,3100,8
48660269,12/29/2005,499000,1/12/2005,429500,1.5,2,1952,1980,4200,1,47683619,-122396072,9,3100,8
48660697,9/23/2005,455000,,,2,3,1977,1550,50529,1,47768081,-122128300,9,32320,
48660889,11/18/2005,210000,,,1.5,3,1959,1290,8800,1,47432489,-122291817,9,28802,
48661441,10/10/2005,312000,3/15/1991,125000,1.75,4,1968,3080,15346,1,47428771,-122321785,9,28700,8
48661633,9/9/2005,540000,,,1.5,3,1954,1330,9200,1,47632445,-122198219,9,24000,
48661637,12/14/2005,600000,4/3/2003,297500,1.5,4,1954,1420,8400,1,47633194,-122196474,9,24000,
48661969,12/14/2005,230000,6/30/1995,109950,1.5,3,1954,1380,12000,1,47332131,-122314917,9,30202,
48662409,10/27/2005,405000,10/18/1996,179950,2.25,3,1984,1860,5990,2,47749202,-122172746,9,21906,8
48663137,10/27/2005,381500,4/27/1994,172000,2.25,3,1967,1460,7838,1,47624804,-122103249,9,23000,
48663137,10/27/2005,381500,10/9/1998,210000,2.25,3,1967,1460,7838,1,47624804,-122103249,9,23000,
48663137,10/27/2005,381500,3/3/2000,239950,2.25,3,1967,1460,7838,1,47624804,-122103249,9,23000,
48663801,11/30/2005,308950,2/17/1994,143500,1.75,4,1966,2100,8701,1,47373188,-122214816,9,29700,
48664561,12/16/2005,765000,9/3/2002,585000,2.5,4,1994,3850,23549,2,47773906,-122046148,9,32311,
48664613,9/23/2005,700000,5/28/1998,424950,3,4,1992,3140,32977,2,47763859,-122043491,9,32311,
48664653,9/26/2005,915000,11/16/1995,417500,3.5,4,1995,4130,37752,2,47770057,-122044549,9,32311,
48664653,9/26/2005,915000,9/1/2000,625000,3.5,4,1995,4130,37752,2,47770057,-122044549,9,32311,
48664653,9/26/2005,915000,9/11/2002,775000,3.5,4,1995,4130,37752,2,47770057,-122044549,9,32311,
48664925,12/15/2005,308000,,,2.25,3,1963,1790,16600,1,47329224,-122267909,9,29902,
48665085,12/29/2005,280000,3/16/1992,119950,1.75,5,1961,2490,9213,1,47287406,-122193674,9,31100,
48665181,9/2/2005,535000,2/23/2001,385000,2.5,3,1997,2540,5267,2,47586121,-122032350,9,32211,
48665253,11/28/2005,550000,,,2.5,4,1998,2510,5899,2,47585608,-122033653,9,32211,4
48665645,10/26/2005,604950,6/15/2001,400000,2.5,3,1996,2750,6987,2,47623686,-122027915,9,32318,
48665677,12/29/2005,607500,4/15/1997,320000,2.5,4,1994,2620,8682,2,47622437,-122029818,9,32318,
48665677,12/29/2005,607500,4/27/2001,408000,2.5,4,1994,2620,8682,2,47622437,-122029818,9,32318,
48666637,11/30/2005,250000,2/5/1996,115000,1.75,3,1959,1590,5865,1,47510130,-122270417,9,11700,
48667529,9/15/2005,735000,9/30/2002,600000,2.5,3,1991,4000,81457,2,47764187,-122033455,9,32311,
48667585,11/16/2005,90000,,,1.75,4,1947,2390,7199,1,47685515,-122268868,9,2200,4
48667905,10/31/2005,339500,7/1/2003,267500,2.5,3,1987,1560,3205,2,47683354,-122096511,9,32313,
48668189,10/28/2005,550000,,,1,4,1916,1730,7200,2,47649674,-122333537,9,5400,3
48668697,11/7/2005,266000,6/29/2004,246000,1.5,3,1956,1320,7980,1,47506799,-122259132,9,11900,
48669277,11/29/2005,280000,4/11/1996,127500,1,2,1950,1280,6070,1,47740849,-122327259,9,21000,
48669317,10/25/2005,381000,3/31/2000,199000,1,3,1949,1440,7500,1,47746540,-122340909,9,21000,
48669385,9/14/2005,239750,12/17/2001,148950,1,2,1949,770,6798,1,47745318,-122343453,9,21000,
48669509,9/29/2005,209950,12/20/1999,119950,1,2,1952,740,5200,1,47493111,-122173080,9,25500,
48669509,9/29/2005,209950,12/19/2001,150000,1,2,1952,740,5200,1,47493111,-122173080,9,25500,
48669553,11/18/2005,237500,12/3/1996,94000,1,4,1952,1120,5200,1,47492400,-122170963,9,25500,
48669553,11/18/2005,237500,6/7/2001,152500,1,4,1952,1120,5200,1,47492400,-122170963,9,25500,
48669553,11/18/2005,237500,4/16/2004,151000,1,4,1952,1120,5200,1,47492400,-122170963,9,25500,
48669613,12/13/2005,205948,9/20/1990,76000,1,2,1953,700,5700,1,47492396,-122168681,9,25500,
48669941,12/5/2005,234500,5/30/2002,100000,1,3,1961,1270,14850,1,47343270,-122175117,9,29602,2
48669941,12/5/2005,234500,11/21/2002,175450,1,3,1961,1270,14850,1,47343270,-122175117,9,29602,2
48669989,9/12/2005,262000,7/18/1994,126500,1,3,1966,1330,15682,1,47333266,-122045536,9,31602,
48670053,10/31/2005,319900,5/13/1991,145000,2,3,1988,1660,36180,1,47338852,-121914610,9,31501,
48670417,10/12/2005,165000,,,1,1,1929,940,72310,1,47507476,-122168293,9,25500,
48672545,9/21/2005,480000,,,1.75,3,1977,1240,5000,1,47671671,-122356917,9,3500,
48672693,9/19/2005,450000,,,1,4,1929,1160,3450,2,47688531,-122376007,9,3000,
48672721,10/12/2005,416000,4/28/1995,121500,1,2,1926,1010,5080,1,47687658,-122374496,9,3000,
48672741,12/28/2005,500000,,,2,2,1927,2100,5245,2,47681596,-122366411,9,3000,
48673169,10/28/2005,575000,8/27/1998,209000,2.25,3,1911,1620,3750,2,47681069,-122367599,9,3000,
48673673,9/30/2005,380000,6/27/2003,340000,2.5,2,2003,1230,1266,2,47670764,-122391390,9,3200,
48674309,12/21/2005,662500,1/22/1999,315000,1,2,1959,2410,5985,1,47658183,-122331150,9,5100,
48674561,10/28/2005,344500,2/25/1992,130000,1,3,1956,1140,7200,1,47588370,-122156141,9,23604,
48675217,10/25/2005,405000,,,2.5,4,1999,2680,9871,2,47430944,-122329407,9,28700,
48675241,10/11/2005,276000,3/17/2000,255000,2,3,1957,1820,14854,1,47421360,-122201397,9,29305,
48675241,10/11/2005,276000,6/7/2000,162000,2,3,1957,1820,14854,1,47421360,-122201397,9,29305,
48675345,9/6/2005,210000,4/7/2003,171500,1,2,1962,880,21600,1,47419901,-122190101,9,29306,
48676189,10/17/2005,339950,10/31/1997,179000,1.75,3,1960,1750,7129,1,47765891,-122205632,9,21804,
48676189,10/17/2005,339950,9/11/2002,239000,1.75,3,1960,1750,7129,1,47765891,-122205632,9,21804,
48676233,9/30/2005,375000,,,1.75,3,1923,1510,11652,1,47766517,-122193097,9,21804,2
48677481,10/28/2005,646750,,,1.75,3,1942,2250,7500,1,47699942,-122382252,9,1600,3
48677501,12/29/2005,703000,3/20/1997,316000,1.75,4,1957,3450,7500,1,47699942,-122383304,9,1600,3
48678773,11/17/2005,220000,,,1,2,1950,890,5840,1,47558882,-122313684,9,10400,
48678933,12/29/2005,310000,,,1.75,4,1960,2200,5000,1,47517971,-122285179,9,11700,
48678969,11/29/2005,265000,,,1,2,1928,850,4000,1,47520450,-122284055,9,11700,
48679529,11/28/2005,420000,,,4.25,4,1962,2130,132858,1,47333507,-122087915,9,31601,
48679721,10/21/2005,273000,,,1,1,1950,970,103672,1,47430144,-122468091,9,27701,
48679837,12/28/2005,300000,4/6/1992,112000,1,4,1928,1600,15733,2,47422651,-122216268,9,29305,8
48680177,12/27/2005,280000,10/10/2003,163500,1,2,1936,890,18637,1,47507056,-122345919,9,26801,
48680281,12/16/2005,278000,,,1,4,1959,1440,7680,2,47509652,-122348378,9,26801,
48680697,9/12/2005,770000,5/21/1996,380000,2.25,3,1988,3440,14485,2,47724423,-122057442,9,32312,4
48680697,9/12/2005,770000,8/14/2002,585000,2.25,3,1988,3440,14485,2,47724423,-122057442,9,32312,4
48680697,9/12/2005,770000,8/29/2003,640000,2.25,3,1988,3440,14485,2,47724423,-122057442,9,32312,4
48680733,12/30/2005,650000,10/31/1997,408000,2.25,3,1985,2860,14686,1,47724127,-122058801,9,32312,4
48680733,12/30/2005,650000,6/26/2003,570000,2.25,3,1985,2860,14686,1,47724127,-122058801,9,32312,4
48680849,12/2/2005,407500,12/10/1999,280000,1,3,1928,1220,3300,1,47680531,-122350502,9,2800,
48680849,12/2/2005,407500,11/12/2002,316900,1,3,1928,1220,3300,1,47680531,-122350502,9,2800,
48681005,11/29/2005,750000,7/11/1989,125000,2.75,3,1949,2690,31938,2,47682330,-122098121,9,32313,
48681217,9/6/2005,1409000,,,1.75,4,1953,1830,348480,1,47770450,-122215441,9,21803,
48681665,10/28/2005,795000,10/30/1995,410990,2.5,3,1995,3640,12258,2,47584889,-121993844,9,32209,
48681665,10/28/2005,795000,5/13/1998,514990,2.5,3,1995,3640,12258,2,47584889,-121993844,9,32209,
48681665,10/28/2005,795000,4/30/2003,622000,2.5,3,1995,3640,12258,2,47584889,-121993844,9,32209,
48681881,9/21/2005,700000,,,2.5,4,1999,3240,7842,2,47607062,-122012394,9,32209,
48682333,11/4/2005,1060000,,,2.5,4,2000,3000,10998,2,47588101,-122195546,9,23900,
48682481,11/29/2005,505000,1/24/1990,144950,2.5,3,1951,1760,8280,1,47607284,-122196474,9,23801,2
48682601,11/18/2005,455000,3/31/1998,57000,2.5,4,1998,3270,8885,2,47284276,-122346429,9,30310,
48683589,12/19/2005,638800,,,1.5,3,1953,1520,9056,1,47630782,-122205721,9,24000,
48683929,11/16/2005,306317,5/21/1999,250000,1.75,4,1965,1570,7680,1,47626485,-122116172,9,23000,
48683929,11/16/2005,306317,10/8/2002,276000,1.75,4,1965,1570,7680,1,47626485,-122116172,9,23000,
48684221,11/10/2005,495450,,,1.75,4,1966,1670,5500,1,47631713,-122117478,9,22901,
48685029,12/23/2005,362000,2/17/1999,215000,2.25,3,1994,2020,8379,2,47382820,-122022894,9,32009,
48685217,10/27/2005,650000,3/26/1999,454000,2.5,4,1994,2680,10500,2,47633134,-122129007,9,22901,
48685269,9/7/2005,1460653,,,2.25,2,2005,3350,9000,2,47623586,-122198738,9,24000,
48685341,9/6/2005,600000,2/24/2003,430000,2.5,3,1984,2520,35002,2,47720913,-122094609,9,32322,
48685425,12/22/2005,430000,6/30/2000,230000,1.5,3,1961,2200,11430,1,47417542,-122209046,9,29305,
48685841,9/15/2005,543000,,,1.5,2,1979,1540,233046,1,47405082,-122469852,9,27702,
48686281,10/21/2005,3300000,,,2.25,3,1946,3050,34403,2,47655331,-122285887,9,4100,3
48686517,12/28/2005,380000,,,1.5,3,1958,1800,23962,1,47488995,-122339933,9,27500,
48686989,10/14/2005,685000,,,1.75,3,1954,1850,21344,1,47588407,-122085563,9,32203,3
48687053,9/6/2005,663000,,,3.5,4,2006,3770,12180,2,47622656,-122197129,9,24000,
48687229,10/20/2005,290000,,,1,1,1937,860,12552,2,47754087,-122228035,9,21700,
48687509,10/31/2005,469950,,,2.5,4,1966,2650,9070,1,47763341,-122285090,9,21500,
48687857,11/4/2005,246500,,,1.5,3,1963,1120,11430,1,47410574,-122194494,9,29403,
48688001,11/1/2005,278000,4/27/2001,199500,2.5,3,1985,1780,7217,2,47402947,-122196290,9,29403,
48688297,12/13/2005,315000,,,1,2,1947,1170,7892,1,47710966,-122295812,9,1000,
48688409,10/5/2005,245000,4/18/1991,89950,1,3,1967,1200,8615,1,47360468,-122116807,9,31702,
48688517,10/6/2005,265000,8/16/1993,119900,2,3,1993,1370,8670,1,47201131,-122009054,9,31400,
48688517,10/6/2005,265000,3/17/2005,229950,2,3,1993,1370,8670,1,47201131,-122009054,9,31400,
48688669,10/13/2005,320000,4/14/1997,132500,1,3,1983,1430,9601,1,47487495,-121790515,9,32704,8
48688673,9/23/2005,305000,,,1,3,1983,1320,9601,1,47487474,-121789294,9,32704,8
48688945,12/23/2005,454250,8/13/2001,259200,1.5,2,1957,1570,27000,1,47363209,-122457499,9,27702,3
48688945,12/23/2005,454250,9/5/2003,268000,1.5,2,1957,1570,27000,1,47363209,-122457499,9,27702,3
48688945,12/23/2005,454250,3/30/2005,297500,1.5,2,1957,1570,27000,1,47363209,-122457499,9,27702,3
48688981,9/30/2005,355300,,,3,4,2006,2990,9544,1,47597261,-122135566,9,23300,
48689873,10/26/2005,460000,4/27/2001,299500,1,2,1919,1090,2500,1,47633856,-122350062,9,6700,
48690069,12/28/2005,525000,,,1,2,1913,1070,3500,1,47635999,-122352227,9,6800,
48690225,12/28/2005,730000,4/29/1994,345000,2.5,3,1990,2130,3545,3,47638887,-122348977,9,6700,3
48690837,11/8/2005,164500,,,0.75,1,1980,1128,76230,2,47315726,-121952906,9,31603,
48691109,9/26/2005,726000,,,0.75,4,1971,1730,75358,2,47402911,-122187894,9,29403,
48691545,11/17/2005,1216950,1/18/2005,812000,3,4,1957,2450,13810,1,47575466,-122203492,9,24500,3
48691705,10/24/2005,360000,,,1.75,3,1972,1370,17859,1,47583731,-122069647,9,32207,
48692129,12/30/2005,355000,,,1.75,4,1978,1540,18293,1,47757603,-122194464,9,21804,
48692369,12/30/2005,248000,6/30/1999,160000,1.5,3,1903,1480,7540,2,47548718,-122296215,9,10400,
48692997,9/26/2005,1200000,6/28/2002,1500000,3.25,6,2000,4830,109771,2,47610393,-121951889,9,32500,4
48693217,12/1/2005,850000,1/16/1997,285000,1,3,1920,950,10800,1,47688916,-122214617,9,22400,3
48693217,12/1/2005,850000,12/30/2004,760000,1,3,1920,950,10800,1,47688916,-122214617,9,22400,3
48693793,10/21/2005,312500,,,2.5,2,1999,1310,3389,2,47491077,-122153939,9,25102,
48693969,9/27/2005,510000,11/30/1998,240000,2.25,3,1955,1540,4653,1,47652824,-122408259,9,5600,
48694209,10/25/2005,209000,8/30/1988,46000,1,3,1931,1130,6670,1,47202735,-121998343,9,31400,
48694393,12/20/2005,400000,6/2/1992,135000,1.75,4,1916,970,3384,1,47583531,-122399377,9,9702,3
48694453,11/30/2005,395000,5/22/1997,143625,1,4,1900,1210,3760,2,47687152,-122343799,9,2700,
48694561,9/26/2005,312650,8/11/1997,141000,1.75,5,1956,1910,7040,1,47490964,-122351730,9,26700,
48694565,9/13/2005,225000,,,1,3,1958,1830,8912,1,47490791,-122350763,9,26700,
48694625,12/5/2005,245000,11/10/1988,85000,,,,,390297,,47242208,-122056288,9,,8
48695545,9/30/2005,290000,,,1.75,3,1955,1940,6500,2,47498320,-122302334,9,27100,
48697469,9/8/2005,364900,8/25/1997,185000,1,2,1918,1130,5750,1,47566638,-122377841,9,9800,8
48697469,9/8/2005,364900,9/25/2001,285000,1,2,1918,1130,5750,1,47566638,-122377841,9,9800,8
48697741,10/26/2005,389950,10/1/1996,155000,1.75,3,1952,1370,5750,1,47565379,-122379163,9,9800,8
48697833,10/28/2005,331000,9/13/1999,137500,1.5,3,1917,1220,2875,1,47563333,-122381017,9,9800,8
48697833,10/28/2005,331000,4/7/2000,164000,1.5,3,1917,1220,2875,1,47563333,-122381017,9,9800,8
48697925,9/30/2005,384000,3/22/2004,395000,2.25,7,1953,2970,3245,2,47561763,-122383210,9,10500,
48698373,10/20/2005,309900,,,2.5,4,1967,1570,9000,1,47433411,-122173549,9,29304,
48698589,12/9/2005,299250,11/21/1995,146900,2,4,1972,2180,7350,1,47436288,-122165810,9,29304,
48698957,9/12/2005,320000,9/10/2003,209950,1,2,1948,1340,23200,1,47506307,-122303478,9,26400,8
48699133,9/23/2005,497000,5/31/2002,211950,1,3,1946,1700,5625,1,47691349,-122339503,9,1800,
48699373,9/27/2005,265000,,,1,4,1949,1060,10772,2,47536318,-122276312,9,11101,
48699913,11/23/2005,250000,,,1,4,1955,1430,7500,2,47409680,-122290453,9,28300,
48699921,10/28/2005,249950,,,1,3,1955,1400,7500,1,47409516,-122290496,9,28300,
48700401,9/29/2005,410000,12/5/1997,244950,2.5,4,1997,2520,5580,2,47495390,-122162173,9,25102,
48700465,11/18/2005,201000,,,1,2,1963,820,14216,1,47486865,-121893012,9,32102,3
48700673,9/9/2005,420000,,,2,5,1918,1440,5550,1,47570373,-122409235,9,9701,3
48700709,11/30/2005,1350000,,,1,3,1924,2250,5000,2,47585036,-122289491,9,9500,3
48700821,9/30/2005,351000,8/26/1997,169950,1.5,3,1969,1230,13543,1,47581404,-122017847,9,32211,
48701069,10/11/2005,1425000,4/14/2000,865000,2.5,3,1997,3253,5541,2,47666795,-122407774,9,5700,3
48701069,10/11/2005,1425000,7/30/2001,925000,2.5,3,1997,3253,5541,2,47666795,-122407774,9,5700,3
48701349,12/5/2005,650000,4/12/1991,73000,3,3,1992,3270,38088,2,47669494,-122028852,9,32314,
48701865,12/27/2005,250000,,,1,2,1937,990,5200,1,47514661,-122270360,9,11700,
48701869,12/15/2005,349950,,,1,2,1920,1760,18750,2,47515016,-122270661,9,11700,8
48701929,11/18/2005,403000,,,1.75,4,1968,1840,7150,1,47634225,-122096614,9,22902,4
48701961,11/30/2005,500000,5/10/1999,296500,2.25,4,1967,2380,11000,2,47633181,-122096764,9,22902,4
48701961,11/30/2005,500000,9/17/2003,375000,2.25,4,1967,2380,11000,2,47633181,-122096764,9,22902,4
48702169,10/11/2005,270000,,,1,3,1962,1220,9936,1,47328456,-122326658,9,30202,
48702457,9/12/2005,336000,,,1.75,4,1962,1810,14100,1,47500777,-122168278,9,25500,
48702557,10/19/2005,292500,3/12/1992,119050,1,2,1948,670,5000,1,47752254,-122277234,9,21400,
48702565,11/28/2005,531000,,,3.25,3,1958,2690,7500,2,47751819,-122278375,9,21400,
48702821,9/8/2005,397000,3/1/2002,275000,1.75,4,1960,2930,9521,1,47522445,-122183485,9,24702,
48702933,10/3/2005,1000000,5/13/1996,430000,1.75,3,1927,3050,9689,2,47643840,-122406651,9,5600,3
48703389,11/28/2005,399900,,,1.75,5,1984,2510,10240,1,47473181,-122141279,9,25600,
48704057,9/12/2005,459000,3/17/1995,168000,1.75,4,1962,1730,8580,2,47662532,-122178069,9,22703,
48704057,9/12/2005,459000,11/21/1996,93567,1.75,4,1962,1730,8580,2,47662532,-122178069,9,22703,
48704057,9/12/2005,459000,5/19/2000,277500,1.75,4,1962,1730,8580,2,47662532,-122178069,9,22703,
48704357,9/7/2005,700000,9/1/1998,535000,2.5,3,1989,3220,14285,2,47634936,-122148899,9,22801,
48704749,9/30/2005,263000,2/10/1995,116950,2,5,1970,1970,6400,1,47299375,-122376493,9,30311,
48704749,9/30/2005,263000,8/29/1997,127500,2,5,1970,1970,6400,1,47299375,-122376493,9,30311,
48704757,9/20/2005,255000,,,1.5,3,1976,1390,6834,1,47300889,-122376483,9,30311,
48704777,12/1/2005,240000,,,2,4,1970,1630,6400,1,47302354,-122376794,9,30306,
48704861,12/9/2005,266000,3/8/2000,149650,1,3,1976,1520,7000,1,47301200,-122380400,9,30306,
48704909,10/27/2005,240000,4/26/2000,157950,2.25,3,1976,1740,6400,2,47303384,-122379823,9,30306,
48705313,12/20/2005,515000,10/15/2001,350000,1.75,3,1956,2440,6480,1,47544119,-122260463,9,11102,2
48705385,9/12/2005,345395,8/31/2000,155000,1,4,1912,1170,6750,2,47544534,-122271134,9,11102,2
48705425,9/30/2005,239950,7/17/1998,60000,1,2,1909,930,7500,1,47542742,-122271682,9,11102,
48705425,9/30/2005,239950,10/5/1998,145000,1,2,1909,930,7500,1,47542742,-122271682,9,11102,
48705425,9/30/2005,239950,8/22/2001,170000,1,2,1909,930,7500,1,47542742,-122271682,9,11102,
48705637,10/14/2005,259850,,,0.75,2,1921,980,5776,1,47537509,-122267930,9,11102,
48705937,10/4/2005,322000,6/14/2002,214500,1,4,1924,1510,7457,2,47756663,-122325654,9,20600,
48706109,12/15/2005,449950,5/25/1994,162500,1.5,3,1970,1340,6608,1,47664414,-122145460,9,22606,
48706109,12/15/2005,449950,7/28/1995,165500,1.5,3,1970,1340,6608,1,47664414,-122145460,9,22606,
48706337,9/9/2005,1090000,8/15/1995,450000,2.25,4,1941,3190,7200,2,47629763,-122287625,9,6300,
48706337,9/9/2005,1090000,2/8/1999,640000,2.25,4,1941,3190,7200,2,47629763,-122287625,9,6300,
48706685,11/1/2005,728000,,,2.25,4,1990,4280,25970,2,47636069,-122018063,9,32318,
48706709,12/2/2005,465000,6/27/1996,268000,2,4,1969,2030,7870,1,47717504,-122218173,9,22202,
48706709,12/2/2005,465000,1/9/1998,290000,2,4,1969,2030,7870,1,47717504,-122218173,9,22202,
48706849,9/13/2005,590000,3/10/2000,294000,1,3,1941,1440,6077,1,47542877,-122381512,9,10600,3
48706849,9/13/2005,590000,5/26/2004,495000,1,3,1941,1440,6077,1,47542877,-122381512,9,10600,3
48706937,12/12/2005,231000,1/27/1998,168000,2.25,3,1988,1580,19546,1,47317292,-122124960,9,31204,
48707085,11/10/2005,310000,2/20/2003,227500,1,2,1943,2030,31000,2,47408514,-122000958,9,32003,
48707305,11/4/2005,367500,5/6/1998,209900,2.75,4,1997,2090,7245,1,47490694,-122254050,9,26100,8
48707333,10/12/2005,180000,12/6/2002,124500,1,2,1991,1110,7629,2,47494698,-122263265,9,26100,8
48707445,10/24/2005,347000,9/4/1997,170000,1,3,1951,1320,8100,1,47719362,-122371340,9,500,
48707609,11/7/2005,625000,,,1.75,4,1955,2200,9450,1,47669569,-122267671,9,4100,
48708253,12/2/2005,399950,5/16/1996,175000,1.75,4,1959,2050,10802,1,47724136,-122311775,9,200,
48708429,11/10/2005,1000000,,,2.5,5,1999,4220,49710,2,47742581,-122126579,9,32320,
48708921,11/9/2005,310000,3/3/1993,105000,1,3,1972,860,7215,1,47711826,-122211833,9,22202,
48708921,11/9/2005,310000,8/10/2000,201500,1,3,1972,860,7215,1,47711826,-122211833,9,22202,
48709509,9/19/2005,669950,,,2.25,4,1987,3350,9391,2,47562011,-122017896,9,32212,
48710057,9/15/2005,372000,,,1.75,4,1973,2870,7725,1,47501403,-122229849,9,26001,8
48710229,10/26/2005,309000,6/2/1994,74000,1,2,1919,740,3700,1,47580111,-122306841,9,10000,
48710365,10/5/2005,394900,,,1.75,4,1962,1870,9365,1,47485492,-122343301,9,27500,
